effectivity_date,product,price_mid
2017-01-03,DIESEL PLUS,32.27166666666667
2017-01-03,KEROSENE,39.26333333333333
2017-01-03,RON 100,47.725
2017-01-03,RON 91,43.449285714285715
2017-01-03,RON 95,44.86083333333334
2017-01-03,RON 97,47.175
2017-01-10,DIESEL PLUS,32.37166666666667
2017-01-10,KEROSENE,39.11333333333334
2017-01-10,RON 100,47.725
2017-01-10,RON 91,43.449285714285715
2017-01-10,RON 95,44.86083333333334
2017-01-10,RON 97,47.175
2017-01-17,DIESEL PLUS,32.02722222222222
2017-01-17,KEROSENE,38.846666666666664
2017-01-17,RON 100,47.425
2017-01-17,RON 91,43.20642857142857
2017-01-17,RON 95,44.61083333333334
2017-01-17,RON 97,46.975
2017-01-24,DIESEL PLUS,32.02722222222222
2017-01-24,KEROSENE,38.830000000000005
2017-01-24,RON 100,48.025
2017-01-24,RON 91,43.80642857142857
2017-01-24,RON 95,45.21083333333333
2017-01-24,RON 97,47.575
2017-01-31,DIESEL PLUS,30.610555555555557
2017-01-31,KEROSENE,38.830000000000005
2017-01-31,RON 100,48.025
2017-01-31,RON 91,43.80642857142857
2017-01-31,RON 95,45.21083333333333
2017-01-31,RON 97,47.575
2017-02-07,DIESEL PLUS,32.52166666666667
2017-02-07,KEROSENE,39.129999999999995
2017-02-07,RON 100,48.525
2017-02-07,RON 91,44.270714285714284
2017-02-07,RON 95,45.694916666666664
2017-02-07,RON 97,48.075
2017-02-28,DIESEL PLUS,33.044999999999995
2017-02-28,KEROSENE,39.596666666666664
2017-02-28,RON 100,48.375
2017-02-28,RON 91,44.131428571428565
2017-02-28,RON 95,45.61083333333334
2017-02-28,RON 97,47.925
2017-03-07,DIESEL PLUS,32.96722222222222
2017-03-07,KEROSENE,39.46333333333333
2017-03-07,RON 100,48.375
2017-03-07,RON 91,43.74571428571429
2017-03-07,RON 95,45.2275
2017-03-07,RON 97,47.525
2017-03-14,DIESEL PLUS,32.44611111111111
2017-03-14,KEROSENE,38.763333333333335
2017-03-14,RON 100,48.025
2017-03-14,RON 91,43.395714285714284
2017-03-14,RON 95,44.935833333333335
2017-03-14,RON 97,47.175
2017-03-21,DIESEL,41.87375
2017-03-21,DIESEL PLUS,31.208333333333332
2017-03-21,KEROSENE,36.308125
2017-03-21,RON 91,43.27428571428572
2017-03-21,RON 95,46.494
2017-03-28,DIESEL,29.75375
2017-03-28,DIESEL PLUS,34.201
2017-03-28,KEROSENE,37.693333333333335
2017-03-28,RON 91,42.449285714285715
2017-03-28,RON 95,44.56833333333333
2017-04-25,DIESEL,43.14125
2017-04-25,DIESEL PLUS,30.915
2017-04-25,KEROSENE,37.70388888888888
2017-04-25,RON 91,44.839999999999996
2017-04-25,RON 95,47.568
2017-05-02,DIESEL,42.40375
2017-05-02,DIESEL PLUS,30.32625
2017-05-02,KEROSENE,36.80166666666667
2017-05-02,RON 91,44.42928571428571
2017-05-02,RON 95,46.056
2017-05-16,DIESEL,41.84625
2017-05-16,DIESEL PLUS,29.756875
2017-05-16,KEROSENE,35.553
2017-05-16,RON 91,43.385
2017-05-16,RON 95,46.168
2017-05-23,DIESEL,42.211875
2017-05-23,DIESEL PLUS,30.580625
2017-05-23,KEROSENE,35.9985
2017-05-23,RON 91,43.81357142857143
2017-05-23,RON 95,46.858000000000004
2017-05-30,DIESEL,42.865
2017-05-30,DIESEL PLUS,30.41357142857143
2017-05-30,KEROSENE,37.7725
2017-05-30,RON 91,44.67166666666666
2017-05-30,RON 95,46.935
2017-06-08,DIESEL,42.585
2017-06-08,DIESEL PLUS,29.91375
2017-06-08,KEROSENE,36.333333333333336
2017-06-08,RON 91,44.11142857142857
2017-06-08,RON 95,47.34
2017-06-20,DIESEL,41.043125
2017-06-20,DIESEL PLUS,28.569375
2017-06-20,KEROSENE,35.159375
2017-06-20,RON 91,42.84285714285714
2017-06-20,RON 95,44.728
2017-07-04,DIESEL,40.694375
2017-07-04,DIESEL PLUS,28.983125
2017-07-04,KEROSENE,35.65125
2017-07-04,RON 91,42.52357142857143
2017-07-04,RON 95,45.198
2017-07-11,DIESEL,41.495000000000005
2017-07-11,DIESEL PLUS,30.249375
2017-07-11,KEROSENE,35.916875000000005
2017-07-11,RON 91,43.11214285714285
2017-07-11,RON 95,45.16625
2017-07-18,DIESEL,41.156875
2017-07-18,DIESEL PLUS,29.821875
2017-07-18,KEROSENE,35.213125
2017-07-18,RON 91,42.66857142857143
2017-07-18,RON 95,44.86625
2017-08-01,DIESEL,41.910714285714285
2017-08-01,DIESEL PLUS,30.505714285714284
2017-08-01,KEROSENE,36.52166666666667
2017-08-01,RON 91,43.6325
2017-08-01,RON 95,45.715
2017-08-15,DIESEL,43.4725
2017-08-15,DIESEL PLUS,31.415625
2017-08-15,KEROSENE,37.174375
2017-08-15,RON 91,44.978571428571435
2017-08-15,RON 95,47.317499999999995
2017-10-31,DIESEL,45.85142857142858
2017-10-31,DIESEL PLUS,34.11571428571428
2017-10-31,KEROSENE,38.70928571428571
2017-10-31,RON 91,46.96785714285714
2017-10-31,RON 95,50.18166666666667
2017-11-07,DIESEL,46.410000000000004
2017-11-07,DIESEL PLUS,34.52285714285715
2017-11-07,KEROSENE,39.513888888888886
2017-11-07,RON 91,47.69714285714286
2017-11-07,RON 95,50.306666666666665
2017-11-14,DIESEL,47.18571428571429
2017-11-14,DIESEL PLUS,35.26428571428572
2017-11-14,KEROSENE,40.36222222222222
2017-11-14,RON 91,48.732142857142854
2017-11-14,RON 95,52.01500000000001
2017-12-12,DIESEL,46.48357142857143
2017-12-12,DIESEL PLUS,34.86214285714286
2017-12-12,KEROSENE,39.940555555555555
2017-12-12,RON 91,47.61928571428571
2017-12-12,RON 95,50.505
2017-12-19,DIESEL,46.646428571428565
2017-12-19,DIESEL PLUS,35.32857142857143
2017-12-19,KEROSENE,40.376666666666665
2017-12-19,RON 91,47.832142857142856
2017-12-19,RON 95,50.818333333333335
2018-01-02,DIESEL,46.36166666666666
2018-01-02,DIESEL PLUS,35.969166666666666
2018-01-02,KEROSENE,41.61375
2018-01-02,RON 91,47.471666666666664
2018-01-02,RON 95,51.425000000000004
2018-01-09,DIESEL,46.748333333333335
2018-01-09,DIESEL PLUS,36.475833333333334
2018-01-09,KEROSENE,42.94285714285714
2018-01-09,RON 91,47.711666666666666
2018-01-09,RON 95,52.11166666666666
2018-01-16,DIESEL,48.498333333333335
2018-01-16,DIESEL PLUS,39.10166666666667
2018-01-16,KEROSENE,44.41285714285714
2018-01-16,RON 91,50.275
2018-01-16,RON 95,54.01833333333334
2018-01-23,DIESEL,49.135
2018-01-23,DIESEL PLUS,39.803333333333335
2018-01-23,KEROSENE,45.52285714285715
2018-01-23,RON 91,50.4925
2018-01-23,RON 95,54.0
2018-01-30,DIESEL,50.4675
